NA_ANIMAL,NA_ID,Loc,Sohlenbrei,NAT1,REST1,STAU1,Breaks_Dis
Alena,130314,0,6,1,0,0,1381.4756
Alena,130314,0,4,0,0,1,26.6434
Alena,130314,0,5,1,0,0,406.2087
Alena,130314,0,5,1,0,0,410.2128
Alena,130314,0,5,1,0,0,439.435
Alena,130314,0,4,1,0,0,501.683
Alena,130314,0,5,1,0,0,85.4667
Alena,130315,0,4,1,0,0,10.2484
Alena,130315,0,5,1,0,0,188.8007
Alena,130315,0,4,1,0,0,2.0467
Alena,130315,0,5,1,0,0,248.6768
Alena,130315,0,6,1,0,0,375.0243
Alena,130315,0,6,1,0,0,384.0682
Alena,130315,0,4,1,0,0,516.4201
Alena,130315,0,6,1,0,0,646.2277
Alena,130315,0,4,1,0,0,7.0757
Alena,130316,0,6,1,0,0,225.994
Alena,130316,0,6,1,0,0,233.6505
Alena,130316,0,6,1,0,0,264.4339
Alena,130316,0,6,1,0,0,366.5514
Alena,130316,0,4,1,0,0,486.7883
Alena,130316,0,7,1,0,0,506.6035
Alena,130316,0,7,1,0,0,512.5255
Alena,130316,0,8,1,0,0,673.0623
Alena,130316,0,6,1,0,0,99.2154
Alena,130317,0,7,1,0,0,1.3791
Alena,130317,0,8,1,0,0,189.3834
Alena,130317,0,8,1,0,0,197.6009
Alena,130317,0,8,1,0,0,209.9511
Alena,130317,0,8,1,0,0,215.7809
Alena,130317,0,7,1,0,0,271.0289
Alena,130317,0,8,1,0,0,650.7903
Alena,130317,0,8,1,0,0,655.7868
Alena,130317,0,7,1,0,0,66.3835
Alena,130318,0,7,1,0,0,240.571
Alena,130318,0,8,1,0,0,37.25
Alena,130318,0,8,1,0,0,38.5702
Alena,130318,0,8,1,0,0,409.1054
Alena,130318,0,8,1,0,0,44.677
Alena,130318,0,8,1,0,0,505.196
